"Time Pattern Regime ID","Teleswitch Register Rule ID"
"01000","1"
"01001","1"
"01002","1"
"01003","1"
"01004","1"
"01005","1"
"01006","1"
"01006","2"
"01006","3"
"01007","1"
"01008","1"
"01009","1"
"01010","1"
"01011","1"
"01012","1"
"01013","1"
"01014","1"
"01015","1"
"01016","1"
"01017","1"
"01018","1"
"01019","1"
"01020","1"
"01021","1"
"01022","1"
"01023","1"
"01024","1"
"01025","1"
"01025","2"
"01025","3"
"01027","1"
"01028","1"
"01029","1"
"01030","1"
"01030","2"
"01030","3"
"01032","1"
"01032","2"
"01032","3"
"01034","1"
"01035","1"
"01036","1"
"01037","1"
"01038","1"
"01039","1"
"01040","1"
"01041","1"
"01042","1"
"01043","1"
"01044","1"
"01045","1"
"01046","1"
"01047","1"
"01048","1"
"01049","1"
"01050","1"
"01051","1"
"01052","1"
"01053","1"
"01054","1"
"01055","1"
"01056","1"
"01057","1"
"01058","1"
"01059","1"
"01060","1"
"01061","1"
"01062","1"
"01063","1"
"01064","1"
"01065","1"
"01066","1"
"01067","1"
"01068","1"
"01069","1"
"01070","1"
"01071","1"
"01072","1"
"01073","1"
"01074","1"
"01074","2"
"01075","1"
"01076","1"
"01077","1"
"01078","1"
"01079","1"
"01080","1"
"01081","1"
"01082","1"
"01082","2"
"01083","1"
"01084","1"
"01085","1"
"01086","1"
"01087","1"
"01088","1"
"01089","1"
"01090","1"
"01091","1"
"01092","1"
"01093","1"
"01094","1"
"01095","1"
"01096","1"
"01097","1"
"01097","2"
"01098","1"
"01099","1"
"01100","1"
"01100","2"
"01101","1"
"01102","1"
"01103","1"
"01103","2"
"01104","1"
"01104","2"
"01105","1"
"01106","1"
"01107","1"
"01108","1"
"01109","1"
"01110","1"
"01111","1"
"01112","1"
"01113","1"
"01114","1"
"01115","1"
"01116","1"
"01118","1"
"01119","1"
"01120","1"
"01121","1"
"01121","2"
"01122","1"
"01123","1"
"01123","2"
"01124","1"
"01125","1"
"01126","1"
"01127","1"
"01128","1"
"01129","1"
"01130","1"
"01131","1"
"01132","1"
"01132","2"
"01133","1"
"01134","1"
"01134","2"
"01135","1"
"01136","1"
"01136","2"
"01137","1"
"01138","1"
"01138","2"
"01139","1"
"01140","1"
"01141","1"
"01142","1"
"01143","1"
"01144","1"
"01145","1"
"01146","1"
"01147","1"
"01148","1"
"01149","1"
"01150","1"
"01151","1"
"01152","1"
"01153","1"
"01154","1"
"01155","1"
"01156","1"
"01157","1"
"01161","1"
"01162","1"
"01163","1"
"01167","1"
"01168","1"
"01169","1"
"01170","1"
"01171","1"
"01172","1"
"01173","1"
"01174","1"
"01175","1"
"01176","1"
"01177","1"
"01178","1"
"01179","1"
"01180","1"
"01181","1"
"01182","1"
"01183","1"
"01184","1"
"01185","1"
"01186","1"
"01189","1"
"01190","1"
"01191","1"
"01192","1"
"01193","1"
"01194","1"
"01200","1"
"01201","1"
"01202","1"
"01203","1"
"01204","1"
"01205","1"
"01206","1"
"01207","1"
"01208","1"
"01209","1"
"01210","1"
"01211","1"
"01212","1"
"01213","1"
"01214","1"
"01215","1"
"01216","1"
"01217","1"
"01218","1"
"01219","1"
"01220","1"
"01221","1"
"01222","1"
"01223","1"
"01224","1"
"01225","1"
"01226","1"
"01227","1"
"01228","1"
"01229","1"
"01233","1"
"01234","1"
"01235","1"
"01236","1"
"01237","1"
"01238","1"
"01239","1"
"01240","1"
"01241","1"
"01242","1"
"01243","1"
"01244","1"
"01245","1"
"01246","1"
"01247","1"
"01248","1"
"01249","1"
"01250","1"
"01251","1"
"01252","1"
"01253","1"
"01254","1"
"01255","1"
"01256","1"
"01257","1"
"01260","1"
"01261","1"
"01262","1"
"01263","1"
"01265","1"
"01266","1"
"01267","1"
"01268","1"
"01269","1"
"01270","1"
"01271","1"
"01272","1"
"01273","1"
"01274","1"
"01275","1"
"01276","1"
"01277","1"
"01278","1"
"01279","1"
"01280","1"
"01284","1"
"01285","1"
"01286","1"
"01287","1"
"01288","1"
"01289","1"
"01290","1"
"01291","1"
"01292","1"
"01293","1"
"01294","1"
"01295","1"
"01296","1"
"01297","1"
"01298","1"
"01299","1"
"01300","1"
"01307","1"
"01308","1"
"01309","1"
"01310","1"
"01311","1"
"01312","1"
"01313","1"
"01315","1"
"01316","1"
"01317","1"
